Time,Huaxian,Xianyang,Zhangjiashan
1999/02,0.69559776,0.1674432,0.14513472
1999/03,0.375080544,0.19097856,0.07729344
1999/04,1.1791008,0.51543648,0.13939776
1999/05,5.3119584,2.3810112,0.42456096
1999/06,4.1418432,2.2004352,0.37755072
1999/07,13.4997408,6.0905952,3.42909504
1999/08,1.7121024,0.78493536,0.40230432
1999/09,2.33712,0.9321696,0.46528128
1999/10,5.6680128,3.0273696,0.5340384
1999/11,2.0029248,0.878256,0.21165408
1999/12,0.802656,0.5826816,0.0391824
2000/01,0.8286624,0.4262976,0.0412992
2000/02,0.9332064,0.392688,0.09421056
2000/03,0.8079264,0.3634848,0.15423264
2000/04,1.1269152,0.5330016,0.05723136
2000/05,0.2855088,0.26282016,0.07159968
2000/06,3.41334432,1.14210432,1.13061312
2000/07,3.684711168,0.96758496,0.92403936
2000/08,4.73504832,1.72685088,0.61047648
2000/09,3.1878144,1.1211264,0.18799776
2000/10,10.6222752,5.8675104,0.82219968
2000/11,4.038336,1.40616,0.33360768
2000/12,1.7090784,0.5449248,0.08532
2001/01,1.441152,0.56808,0.07277472
2001/02,1.4230944,0.5919264,0.13207968
2001/03,0.815616,0.30710016,0.08187264
2001/04,1.62463104,0.26441856,0.18265824
2001/05,1.2716352,0.1875744,0.40196736
2001/06,0.222708096,0.11467008,0.1168128
2001/07,1.181615904,0.54906336,0.5851008
2001/08,2.46589056,0.350568,1.526256
2001/09,6.14304,3.5793792,1.9903968
2001/10,5.97888,2.2499424,1.3070592
2001/11,2.544048,0.7795008,0.3833568
2001/12,1.044144,0.32319648,0.07117632
2002/01,0.7376832,0.27450144,0.03868992
2002/02,1.1658816,0.3443904,0.07195392
2002/03,1.061856,0.28807488,0.162
2002/04,1.349136,0.48512736,0.19741536
2002/05,3.3778944,1.028592,0.7467552
2002/06,6.3573984,2.6238816,1.65646944
2002/07,2.87687808,0.98693856,1.2408768
2002/08,4.17915072,0.81130464,1.76814144
2002/09,2.3331456,0.61765632,0.66053664
2002/10,1.500336,0.33074784,0.22500288
2002/11,1.206144,0.26865216,0.11792736
2002/12,0.5934816,0.18829152,0.05363712
2003/01,1.0202112,0.27517536,0.04343328
2003/02,0.8956224,0.1752192,0.10595232
2003/03,0.7993728,0.16625952,0.07557408
2003/04,2.053296,0.48682944,0.20585664
2003/05,2.0546784,0.82530144,0.38185344
2003/06,0.471213504,0.164077056,0.0439776
2003/07,3.9587616,2.14233984,0.97206048
2003/08,11.2256928,7.5704544,4.96159776
2003/09,6.14304,15.934752,3.4595424
2003/10,29.827872,14.695776,5.3903232
2003/11,6.982848,4.7203776,1.3480128
2003/12,4.1207616,1.954368,0.43412544
2004/01,2.5402464,1.0684224,0.09854784
2004/02,2.1871296,0.5331744,0.20990016
2004/03,2.8677024,0.9758016,0.33591456
2004/04,2.1104928,1.416096,0.09340704
2004/05,2.7964224,1.4599872,0.14093568
2004/06,1.17960192,0.58407264,0.07738848
2004/07,2.15510976,0.803088,0.91698912
2004/08,5.5583712,1.7609184,2.35065024
2004/09,5.392224,2.8610496,0.64145088
2004/10,5.137344,2.5709184,0.7159968
2004/11,2.8367712,1.5004224,0.30505248
2004/12,2.3767776,1.0417248,0.07656768
2005/01,1.6215552,1.081728,0.05294592
2005/02,0.8806752,0.7682688,0.04843584
